InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV501880,KIT0225,Standard Green Pan,6,2024-08-14 20:56:00,386.72,10760,Brazil
INV501881,KIT0169,Bosch Silver Can Opener,10,2021-12-14 20:33:00,327.31,11005,Australia
INV501882,FAS0485,Sony Handbag,2,2024-09-21 17:03:00,107.85,10259,Norway
INV501883,HOM0074,Generic Decorative Item,10,2022-08-05 19:34:00,257.96,10367,Germany
INV501884,SPO0339,Target Hiking Boots,2,2024-08-06 10:19:00,211.71,11248,Brazil
INV501885,BOO0277,Professional Gray Comic Book,10,2024-10-27 15:57:00,20.08,11084,Australia
INV501886,BOO0237,Basic Gray Comic Book,6,2024-03-17 17:33:00,21.82,10168,Australia
INV501887,AUT0469,Panasonic Ultra Floor Mats,31,2024-07-18 09:50:00,234.17,10613,India
INV501888,SPO0407,Nike Black Hiking Boots,37,2022-10-13 20:55:00,240.6,10545,Spain
INV501889,HEA0268,Premium Red Moisturizer,43,2020-08-02 09:11:00,149.33,10328,Japan
INV501890,ELE0112,Walmart White Smart TV,4,2022-12-17 16:21:00,724.37,11488,Germany
INV501891,HEA0223,IKEA White Foundation,2,2024-05-06 09:36:00,47.07,11541,France
INV501892,KIT0313,Google Refrigerator,41,2024-09-04 16:05:00,146.24,10504,United States
INV501893,ELE0484,Amazon Blue Cable,46,2020-01-24 08:47:00,1023.74,10564,Singapore
INV501894,TOY0317,Walmart Mini Educational Toy,10,2023-07-14 10:53:00,54.92,11629,Sweden
INV501895,OFF0228,Samsung Standard Eraser,1,2022-01-28 13:09:00,39.99,10216,France
INV501896,ELE0442,Samsung Pink Headphones,7,2023-04-13 11:14:00,1307.67,11148,South Korea
INV501897,SPO0405,IKEA Standard Bicycle,6,2024-03-04 16:34:00,124.57,11686,Germany
INV501898,ELE0011,Microsoft Gold Smart Home Device,8,2024-03-13 08:49:00,533.52,11538,Brazil
INV501899,FAS0343,Amazon Shoes,3,2023-10-10 14:01:00,146.34,11713,Brazil
INV501900,SPO0382,Microsoft Standard Fitness Tracker,10,2021-05-08 20:37:00,352.85,11529,United States
INV501901,SPO0006,Budget Orange Basketball,9,2020-09-14 17:30:00,22.44,10164,United Kingdom
INV501902,OFF0069,Premium Deluxe Hole Punch,6,2021-12-16 09:15:00,14.16,10630,Italy
INV501903,BOO0219,HP Cookbook,1,2023-11-14 16:20:00,21.05,11482,Mexico
INV501904,HEA0274,Nikon Pro Skincare Cream,9,2024-01-08 09:02:00,46.12,11693,Germany
INV501905,TOY0168,Philips Educational Toy,3,2021-09-05 11:45:00,173.85,10581,Brazil
INV501906,HOM0106,Amazon Desk,6,2023-11-28 20:50:00,309.46,10945,Germany
INV501907,HEA0255,Premium Black Vitamins,7,2020-10-13 15:05:00,86.33,11088,Sweden
INV501908,SPO0354,Budget Fitness Tracker,10,2022-04-01 17:15:00,90.33,10445,Japan
INV501909,HEA0181,Nikon Pink Perfume,10,2020-05-03 19:00:00,138.65,10429,Norway
INV501910,KIT0171,Adidas Toaster,7,2020-07-04 13:40:00,130.17,11284,Japan
INV501911,HOM0150,Samsung White Plant Pot,4,2020-06-25 18:21:00,640.65,11958,Japan
INV501912,HOM0198,Panasonic Bed Frame,4,2023-04-12 15:36:00,666.56,11763,Sweden
INV501913,FAS0183,Nikon Pants,2,2020-07-26 14:18:00,110.11,10381,United Kingdom
INV501914,TOY0202,Apple Educational Toy,49,2020-03-28 18:08:00,36.84,10505,United States
INV501915,HEA0261,Luxury Serum,40,2022-09-22 10:29:00,59.75,11717,South Korea
INV501916,ELE0438,Google Gray Speaker,10,2022-05-13 20:41:00,1849.87,10058,France
INV501917,HOM0210,Sony Green Mirror,4,2021-08-27 10:33:00,600.93,10775,Sweden
INV501918,KIT0194,Sony Compact Food Processor,5,2020-05-20 19:43:00,268.2,10169,Denmark
INV501919,OFF0040,HP Notebook,2,2023-06-30 19:29:00,54.49,10845,France
INV501920,BOO0486,Sony Orange Technology Book,4,2021-11-16 16:55:00,11.44,11964,Netherlands
INV501921,HOM0326,Canon Compact Lamp,36,2024-08-23 12:02:00,200.41,11676,United States
INV501922,BOO0192,Standard Pink Biography,12,2021-01-21 18:35:00,22.24,11998,France
INV501923,HOM0001,Nike Deluxe Sofa,4,2020-01-17 12:09:00,576.5,11120,Netherlands
INV501924,BOO0215,Apple Science Book,3,2024-10-21 16:55:00,12.32,10997,Netherlands
INV501925,ELE0135,Nike Keyboard,5,2022-07-17 09:33:00,575.5,10210,India
INV501926,SPO0297,Google Max Bicycle,6,2024-06-14 11:59:00,28.75,11547,Germany
INV501927,OFF0295,Basic Shredder,1,2022-05-06 15:25:00,97.64,10045,India
INV501928,FAS0356,Microsoft Large Sweater,10,2023-07-07 19:58:00,55.42,10533,Italy
INV501929,KIT0292,Nike Black Food Processor,9,2023-01-03 20:54:00,212.74,10008,Singapore
INV501930,ELE0481,Generic Large Smart Watch,8,2024-04-16 12:55:00,1168.18,10570,Denmark
INV501931,TOY0387,Panasonic Compact Musical Instrument,17,2024-10-18 19:15:00,97.64,10656,Singapore
INV501932,FAS0426,Samsung Black Shorts,9,2024-03-13 15:08:00,117.47,11703,Brazil
INV501933,SPO0252,Professional Golf Club,5,2024-12-24 11:01:00,360.08,11733,India
INV501934,BOO0496,Philips Red Textbook,9,2023-02-20 09:50:00,36.19,11315,Italy
INV501935,AUT0388,Luxury Green Car Accessories,5,2024-05-07 19:49:00,190.33,10217,United States
INV501936,TOY0018,Walmart Brown Art Supplies,4,2023-04-24 16:48:00,139.55,11698,Singapore
INV501937,OFF0462,Bosch Highlighter,8,2021-02-24 16:30:00,39.49,11071,Netherlands
INV501938,TOY0334,Sony Video Game,9,2021-03-31 19:14:00,66.28,10908,United Kingdom
INV501939,HEA0208,Generic Large Nail Polish,8,2022-07-09 08:53:00,85.35,10440,Singapore
INV501940,ELE0049,Basic Mini Smart Watch,1,2023-05-24 08:39:00,612.22,10515,Denmark
INV501941,FAS0058,Bosch Sneakers,32,2021-01-30 16:52:00,29.95,11871,South Korea
INV501942,ELE0448,Amazon Gaming Console,1,2021-01-16 16:08:00,39.9,11305,Germany
INV501943,OFF0069,Premium Deluxe Hole Punch,3,2020-03-21 12:04:00,14.16,10811,South Korea
INV501944,HOM0434,Sony Pink Plant Pot,4,2020-06-23 17:02:00,686.23,11342,Denmark
INV501945,FAS0335,Cuisinart Pink Sneakers,8,2020-10-01 08:17:00,202.95,11484,Singapore
INV501946,KIT0144,Nike Kettle,1,2023-12-19 19:31:00,277.82,11553,China
INV501947,SPO0303,Nike Ultra Backpack,5,2020-07-23 17:13:00,138.4,11413,France
INV501948,BOO0139,HP Science Book,4,2024-09-16 16:41:00,35.1,10327,United States
INV501949,TOY0031,Amazon Card Game,10,2021-09-25 09:40:00,42.38,10155,China
INV501950,HOM0074,Generic Decorative Item,5,2023-01-19 15:01:00,257.96,11892,China
INV501951,OFF0374,Generic Hole Punch,8,2020-11-05 19:24:00,49.71,11203,Australia
INV501952,ELE0444,Luxury Gold Smartphone,36,2021-02-23 10:11:00,1077.69,10524,Sweden
INV501953,HEA0041,Canon Standard Nail Polish,29,2024-06-12 10:11:00,140.42,10765,Netherlands
INV501954,HEA0008,Panasonic Compact Cleanser,4,2020-12-19 14:06:00,29.74,10594,Mexico
INV501955,HEA0274,Nikon Pro Skincare Cream,1,2020-03-13 11:19:00,46.12,10221,Sweden
INV501956,FAS0270,Budget Max Belt,7,2021-03-16 08:30:00,43.42,10784,Sweden
INV501957,BOO0077,Kitchenaid Magazine,8,2023-11-23 18:10:00,9.46,10025,Denmark
INV501958,SPO0479,Basic Pink Swimming Goggles,12,2020-03-06 17:21:00,259.53,10115,Germany
INV501959,HEA0406,Philips Compact Makeup,7,2024-01-17 10:04:00,26.48,11597,Canada
INV501960,BOO0185,Generic Standard Self-Help Book,9,2023-04-09 08:00:00,35.92,11170,France
INV501961,ELE0239,Target Cable,6,2020-03-02 08:06:00,1585.37,10695,United States
INV501962,KIT0125,Generic Compact Blender,10,2020-01-26 08:51:00,488.45,11014,Canada
INV501963,HEA0111,HP Deluxe Toothpaste,2,2021-01-23 20:49:00,79.75,10945,Germany
INV501964,KIT0336,Sony White Toaster,3,2020-07-10 09:13:00,114.11,10071,Spain
INV501965,HOM0417,Nike XL Blanket,1,2024-03-02 16:30:00,749.03,11108,Germany
INV501966,KIT0039,IKEA Gray Microwave,8,2020-10-18 10:07:00,477.49,11812,Australia
INV501967,BOO0412,Philips Green Science Book,6,2024-11-17 19:49:00,17.53,10052,Germany
INV501968,HEA0381,LG Red Nail Polish,2,2022-10-12 09:36:00,134.49,10573,Italy
INV501969,KIT0281,Premium Pro Microwave,2,2022-08-28 08:29:00,68.0,10343,United States
INV501970,SPO0157,Target Yoga Mat,1,2020-10-23 11:48:00,355.77,10526,Italy
INV501971,KIT0151,Bosch Pro Food Processor,3,2021-01-11 13:09:00,486.05,10618,India
INV501972,HEA0332,Generic Lipstick,3,2021-12-02 10:13:00,81.5,10191,Canada
INV501973,AUT0301,HP XL Tool Kit,2,2020-10-17 19:58:00,139.28,11867,Denmark
INV501974,AUT0341,Luxury Blue Tire Pressure Gauge,10,2021-07-10 12:47:00,94.18,11918,Belgium
INV501975,KIT0229,Walmart Measuring Cup,8,2024-12-14 10:24:00,84.68,11687,Brazil
INV501976,HEA0012,Target Red Lipstick,3,2022-05-11 18:40:00,130.91,11264,United States
INV501977,SPO0162,Samsung Black Camping Tent,3,2022-08-21 14:05:00,333.09,10724,Singapore
INV501978,ELE0239,Target Cable,5,2024-01-14 16:01:00,1585.37,11335,Sweden
INV501979,TOY0497,Nikon Craft Kit,5,2021-12-07 19:22:00,116.49,11988,Netherlands
INV501980,BOO0277,Professional Gray Comic Book,7,2020-03-16 10:06:00,20.08,11197,Australia
INV501981,OFF0295,Basic Shredder,6,2023-01-04 17:59:00,97.64,10218,Spain
INV501982,KIT0047,HP Mini Oven,7,2023-01-11 14:48:00,38.82,11724,Norway
INV501983,SPO0147,Nikon Large Fishing Rod,9,2024-12-17 14:16:00,259.35,11440,Brazil
INV501984,AUT0285,Sony Black Bluetooth Adapter,9,2023-10-13 14:08:00,226.57,10981,Canada
INV501985,HEA0238,Philips Cleanser,1,2020-01-20 16:33:00,131.95,10439,India
INV501986,OFF0160,Canon Whiteboard,1,2022-11-12 19:14:00,71.14,10552,South Korea
INV501987,FAS0421,Luxury Deluxe Gloves,2,2023-03-02 09:36:00,254.59,10898,Singapore
INV501988,SPO0252,Professional Golf Club,10,2020-09-24 09:27:00,360.08,10067,China
INV501989,KIT0023,Philips Standard Utensil Set,10,2024-02-18 19:48:00,436.23,10616,Australia
INV501990,BOO0478,Philips Cookbook,4,2022-03-15 17:46:00,39.47,11084,Australia
INV501991,SPO0066,Adidas Gym Equipment,6,2021-04-16 12:34:00,44.13,11281,Spain
INV501992,BOO0262,Google Ultra Children's Book,8,2020-03-21 16:10:00,47.98,10551,Italy
INV501993,KIT0115,Kitchenaid Green Toaster,9,2022-04-20 13:17:00,211.25,10241,Singapore
INV501994,BOO0096,Generic Large Textbook,1,2020-12-10 09:10:00,13.24,10885,Mexico
INV501995,HEA0381,LG Red Nail Polish,3,2024-11-09 08:22:00,134.49,10409,Denmark
INV501996,KIT0169,Bosch Silver Can Opener,4,2024-04-08 11:00:00,327.31,11849,United Kingdom
INV501997,ELE0011,Microsoft Gold Smart Home Device,9,2022-02-10 11:50:00,533.52,10125,Netherlands
INV501998,HEA0381,LG Red Nail Polish,7,2022-07-17 11:37:00,134.49,10598,Singapore
INV501999,OFF0314,IKEA Compact Pencil,9,2022-12-03 17:49:00,68.85,10228,India
INV502000,HOM0291,Sony Brown Chair,17,2021-05-31 09:25:00,732.36,11594,Australia
INV502001,HEA0002,Premium Blue Supplements,2,2022-02-26 17:48:00,80.19,11635,Spain
INV502002,SPO0322,Luxury Blue Camping Tent,4,2020-10-11 18:31:00,231.45,11519,China
INV502003,SPO0479,Basic Pink Swimming Goggles,10,2023-10-10 16:49:00,259.53,10413,Japan
INV502004,HOM0373,Generic Storage Box,10,2020-04-01 14:00:00,774.17,11183,South Korea
INV502005,ELE0408,Target Premium Earbuds,5,2023-01-17 09:54:00,900.07,11110,United Kingdom
INV502006,SPO0466,Google Gray Gym Equipment,8,2021-06-12 14:15:00,295.8,11775,Mexico
INV502007,BOO0026,Amazon Mini Language Learning,10,2024-07-29 17:32:00,38.26,10084,France
INV502008,SPO0351,Sony Purple Football,7,2020-08-31 09:46:00,106.06,10568,Brazil
INV502009,ELE0126,Bosch Power Bank,15,2020-07-15 16:56:00,982.14,11711,Norway
INV502010,KIT0163,Microsoft Plate Set,10,2023-02-11 18:23:00,17.66,10175,United States
INV502011,ELE0133,Panasonic Deluxe Charger,3,2024-04-03 17:51:00,1960.65,11422,Spain
INV502012,BOO0077,Kitchenaid Magazine,22,2023-07-26 12:51:00,9.46,10633,Germany
INV502013,AUT0341,Luxury Blue Tire Pressure Gauge,6,2021-02-20 13:48:00,94.18,11737,Mexico
INV502014,OFF0143,Samsung Deluxe Marker,1,2022-07-03 13:24:00,82.11,10490,France
INV502015,OFF0295,Basic Shredder,5,2021-08-03 17:56:00,97.64,11933,Netherlands
INV502016,AUT0140,Basic Car Vacuum,7,2022-06-23 10:45:00,117.76,11442,Brazil
INV502017,ELE0049,Basic Mini Smart Watch,3,2021-06-30 18:46:00,612.22,10110,Mexico
INV502018,AUT0415,Adidas Ultra Car Phone Mount,9,2020-07-06 19:32:00,287.23,10033,Japan
INV502019,KIT0472,HP Mini Dishwasher,4,2022-11-17 15:38:00,28.92,10312,Sweden
INV502020,FAS0393,Walmart Boots,1,2020-11-01 14:09:00,97.81,11890,Germany
INV502021,HEA0272,Amazon Max Toothpaste,2,2022-10-14 12:44:00,60.26,10069,United States
INV502022,HEA0464,Samsung White Serum,4,2024-06-05 13:40:00,83.52,10666,Singapore
INV502023,FAS0099,Panasonic Blue Pants,3,2021-03-31 13:29:00,195.88,11989,United States
INV502024,HEA0005,Nike Brown Conditioner,3,2023-06-23 09:49:00,123.06,10036,India
INV502025,BOO0487,Canon Deluxe Business Book,6,2020-08-07 16:07:00,21.86,11147,Norway
INV502026,BOO0215,Apple Science Book,50,2020-12-27 20:40:00,12.32,11407,Mexico
INV502027,TOY0168,Philips Educational Toy,1,2021-08-10 18:55:00,173.85,11996,India
INV502028,HOM0204,Budget Bookshelf,1,2020-05-04 15:38:00,433.77,11828,Germany
INV502029,OFF0113,Canon Ruler,7,2022-04-16 08:03:00,12.5,10355,United States
INV502030,SPO0066,Adidas Gym Equipment,9,2020-10-20 15:05:00,44.13,10175,United States
INV502031,FAS0046,Basic XL Blouse,3,2021-02-14 10:36:00,194.86,10061,Sweden
INV502032,OFF0474,Nike Standard Notebook,2,2021-12-19 09:08:00,33.46,11506,Sweden
INV502033,KIT0336,Sony White Toaster,44,2024-01-04 13:00:00,114.11,10061,Sweden
INV502034,ELE0377,Dell Laptop,6,2021-04-04 20:57:00,1759.87,11020,Denmark
INV502035,AUT0468,Budget Orange Car Charger,26,2021-10-01 14:46:00,259.68,11497,Brazil
INV502036,TOY0497,Nikon Craft Kit,3,2020-10-22 15:26:00,116.49,10095,United States
INV502037,ELE0437,Panasonic Mouse,7,2024-08-17 08:06:00,682.39,10449,Belgium
INV502038,FAS0046,Basic XL Blouse,1,2022-01-19 15:46:00,194.86,11274,Denmark
INV502039,BOO0409,Philips Large Biography,4,2024-02-07 12:31:00,17.46,11523,United States
INV502040,BOO0077,Kitchenaid Magazine,6,2023-02-17 14:05:00,9.46,11732,Mexico
INV502041,HOM0210,Sony Green Mirror,3,2021-10-12 20:06:00,600.93,11006,Sweden
INV502042,KIT0348,Microsoft Pro Food Processor,8,2023-09-30 10:25:00,307.65,11535,Netherlands
INV502043,HEA0002,Premium Blue Supplements,7,2023-12-11 20:24:00,80.19,10928,Belgium
INV502044,HEA0180,Apple Black Perfume,35,2020-11-08 10:17:00,37.87,11915,Spain
INV502045,AUT0490,IKEA Gold Car Vacuum,38,2024-12-15 14:54:00,122.97,10157,Australia
INV502046,BOO0227,Standard Language Learning,5,2024-06-06 17:18:00,18.09,11118,United Kingdom
INV502047,AUT0240,Adidas Orange Car Accessories,3,2023-03-30 08:40:00,122.11,10970,France
INV502048,OFF0186,Nikon Purple Desk Organizer,7,2020-08-10 20:32:00,91.79,10426,South Korea
INV502049,BOO0257,Apple Science Book,5,2020-10-25 10:15:00,25.64,10622,France
INV502050,HEA0443,HP Pink Foundation,4,2021-09-21 08:19:00,8.11,10642,United States
INV502051,BOO0215,Apple Science Book,7,2023-01-26 10:07:00,12.32,11487,United Kingdom
INV502052,HOM0045,Walmart Pro Table,7,2024-09-23 12:38:00,792.51,10309,Italy
INV502053,TOY0385,Microsoft Compact Card Game,6,2021-06-09 17:50:00,28.25,11512,Germany
INV502054,BOO0009,Premium Self-Help Book,27,2024-06-28 12:41:00,26.89,10353,Germany
INV502055,FAS0046,Basic XL Blouse,2,2023-10-05 19:39:00,194.86,11677,Spain
INV502056,HOM0397,Target Black Plant Pot,9,2020-06-13 16:09:00,649.35,11010,China
INV502057,KIT0128,Luxury Plate Set,7,2021-04-23 12:14:00,139.13,10950,United Kingdom
INV502058,FAS0347,Target Compact Jeans,5,2022-10-21 16:51:00,70.27,10691,Mexico
INV502059,ELE0371,Kitchenaid Premium Memory Card,9,2021-07-21 17:51:00,263.46,10367,Germany
INV502060,SPO0275,Professional Compact Fitness Tracker,7,2022-04-09 12:55:00,275.85,10860,United States
INV502061,AUT0010,Philips Gold Motor Oil,2,2024-07-30 09:02:00,67.91,11586,Sweden
INV502062,KIT0047,HP Mini Oven,6,2021-09-28 11:42:00,38.82,10373,Netherlands
INV502063,OFF0143,Samsung Deluxe Marker,3,2021-05-21 08:07:00,82.11,11536,China
INV502064,ELE0206,Nike Keyboard,10,2024-03-03 16:27:00,1764.69,11451,France
INV502065,HOM0422,Nike Mini Garden Tools,41,2020-10-18 09:45:00,128.24,10009,France
INV502066,ELE0329,Samsung Blue Headphones,7,2020-04-18 08:12:00,542.18,11496,Germany
INV502067,FAS0032,Panasonic Black Shoes,22,2020-08-03 17:28:00,60.67,10335,United States
INV502068,SPO0424,Google Compact Football,10,2020-04-11 09:05:00,329.26,11128,Denmark
INV502069,OFF0142,Sony Green Highlighter,1,2021-03-05 12:58:00,63.7,11654,Canada
INV502070,HEA0244,Google Blue Nail Polish,4,2020-08-07 20:44:00,51.01,11919,United States
INV502071,OFF0383,Generic Purple Stapler,8,2024-04-09 18:35:00,15.3,11017,Singapore
INV502072,AUT0024,Generic Car Charger,2,2024-12-16 18:48:00,296.06,10850,Canada
INV502073,FAS0453,Dell Gold Dress,32,2023-11-01 19:39:00,156.05,10795,Netherlands
INV502074,FAS0027,Panasonic XL Sneakers,5,2020-07-20 17:41:00,296.26,11539,Japan
INV502075,SPO0433,LG Blue Swimming Goggles,39,2024-08-09 16:21:00,351.53,10584,Germany
INV502076,BOO0187,Standard Blue Art Book,50,2020-09-03 09:13:00,40.5,11777,Mexico
INV502077,KIT0225,Standard Green Pan,6,2022-12-21 10:45:00,386.72,11963,Singapore
INV502078,HEA0012,Target Red Lipstick,3,2023-02-17 16:43:00,130.91,10245,Denmark
INV502079,AUT0429,Nikon Max Dash Cam,1,2022-08-23 10:49:00,258.23,11777,Mexico
INV502080,TOY0307,Samsung Purple Educational Toy,4,2022-08-16 09:26:00,121.51,10959,Spain
INV502081,BOO0219,HP Cookbook,9,2020-08-15 20:39:00,21.05,10217,United States
INV502082,KIT0500,Generic Green Mixer,3,2021-02-19 18:38:00,306.72,10963,Brazil
INV502083,SPO0389,IKEA Green Football,7,2021-05-29 15:31:00,255.94,11801,Italy
INV502084,TOY0062,Dell Large Science Kit,8,2021-11-24 11:02:00,79.79,11587,Germany
INV502085,KIT0450,Sony Blender,2,2020-01-15 10:51:00,224.89,10917,South Korea
INV502086,KIT0281,Premium Pro Microwave,9,2022-01-20 20:22:00,68.0,10588,Sweden
INV502087,ELE0444,Luxury Gold Smartphone,12,2020-01-31 10:41:00,1077.69,10954,Netherlands
INV502088,FAS0343,Amazon Shoes,4,2024-06-23 20:08:00,146.34,10527,Australia
INV502089,HEA0449,IKEA Serum,3,2020-11-28 09:25:00,121.26,10437,United Kingdom
INV502090,HEA0020,Walmart Supplements,7,2023-05-18 18:48:00,56.62,11199,United States
INV502091,HOM0283,Google Garden Tools,8,2021-06-15 14:42:00,44.87,10784,Sweden
INV502092,ELE0011,Microsoft Gold Smart Home Device,8,2023-10-29 18:22:00,533.52,10967,Belgium
INV502093,HOM0224,Sony Blue Storage Box,2,2021-05-18 17:54:00,763.43,10136,Netherlands
INV502094,ELE0477,Sony Memory Card,3,2020-07-02 13:03:00,1228.45,11873,Norway
INV502095,HEA0060,Samsung Hair Dryer,5,2024-08-13 10:24:00,62.51,11507,India
INV502096,KIT0003,Microsoft Purple Mixer,1,2021-03-21 11:23:00,349.0,10149,Japan
INV502097,ELE0482,Premium Hard Drive,43,2024-04-19 12:57:00,1904.37,10096,United States
INV502098,HEA0081,LG Purple Toothbrush,4,2023-12-10 19:44:00,103.1,11602,France
INV502099,ELE0318,Apple Ultra Keyboard,4,2023-03-29 10:18:00,1976.15,10231,France
INV502100,ELE0438,Google Gray Speaker,2,2021-03-27 08:00:00,1849.87,11110,United Kingdom
INV502101,AUT0468,Budget Orange Car Charger,7,2023-05-15 20:51:00,259.68,10618,India
INV502102,HOM0417,Nike XL Blanket,4,2020-04-05 10:06:00,749.03,10153,Germany
INV502103,OFF0467,Basic White Eraser,8,2024-01-13 13:48:00,81.12,10755,United Kingdom
INV502104,KIT0366,Nikon Pink Knife Set,7,2023-12-01 12:25:00,293.02,11654,Canada
INV502105,SPO0407,Nike Black Hiking Boots,10,2024-11-01 13:14:00,240.6,11461,Belgium
INV502106,OFF0282,Professional Purple Highlighter,1,2021-10-29 08:52:00,84.06,10635,Germany
INV502107,SPO0451,Canon Deluxe Yoga Mat,8,2022-05-11 12:49:00,358.36,10243,Canada
INV502108,SPO0252,Professional Golf Club,10,2024-05-31 14:54:00,360.08,10319,France
INV502109,FAS0063,Sony Shoes,4,2023-02-04 13:20:00,197.8,11965,India
INV502110,ELE0392,Samsung Tablet,17,2020-10-07 16:49:00,1972.62,11525,Italy
INV502111,HEA0464,Samsung White Serum,8,2021-11-05 20:06:00,83.52,10157,Australia
INV502112,SPO0120,Adidas Gray Yoga Mat,10,2022-10-16 16:06:00,362.38,10275,India
INV502113,OFF0186,Nikon Purple Desk Organizer,7,2024-10-15 18:02:00,91.79,10700,Sweden
INV502114,SPO0344,Bosch Large Running Shoes,8,2020-11-25 11:46:00,153.74,11562,Singapore
INV502115,AUT0010,Philips Gold Motor Oil,5,2022-06-10 20:47:00,67.91,10786,Denmark
INV502116,BOO0190,Microsoft Brown Biography,7,2024-05-02 15:29:00,19.37,11726,Denmark
INV502117,BOO0019,Professional Science Book,8,2020-07-27 08:29:00,21.25,10290,Japan
INV502118,FAS0032,Panasonic Black Shoes,8,2020-09-07 13:24:00,60.67,10417,United States
INV502119,ELE0135,Nike Keyboard,8,2022-12-24 18:48:00,575.5,11650,Canada
INV502120,KIT0247,IKEA Bowl Set,1,2021-03-19 09:31:00,304.53,10471,Netherlands
INV502121,HOM0158,Basic Deluxe Mirror,43,2020-02-02 20:11:00,784.52,10652,China
INV502122,BOO0227,Standard Language Learning,2,2024-09-17 12:32:00,18.09,11820,Mexico
INV502123,KIT0167,Nikon Mixer,3,2022-02-24 08:10:00,244.71,11734,Canada
INV502124,FAS0089,Kitchenaid Orange Sweater,7,2023-11-04 16:25:00,182.82,11153,Australia
INV502125,AUT0458,HP Gold Tire Pressure Gauge,9,2022-11-23 12:02:00,49.98,10303,United States
INV502126,BOO0214,Google Technology Book,3,2020-01-22 15:41:00,9.7,10919,Netherlands
INV502127,KIT0194,Sony Compact Food Processor,3,2022-09-06 09:55:00,268.2,11828,Germany
INV502128,BOO0362,Bosch Max Language Learning,6,2021-03-02 19:35:00,16.58,11710,France
INV502129,KIT0472,HP Mini Dishwasher,7,2023-11-17 10:22:00,28.92,11981,Netherlands
INV502130,FAS0065,Microsoft Deluxe Sunglasses,9,2022-06-02 19:32:00,215.28,11237,Sweden
INV502131,HEA0244,Google Blue Nail Polish,7,2023-10-07 19:01:00,51.01,11712,Spain
INV502132,ELE0135,Nike Keyboard,9,2022-03-16 17:43:00,575.5,11633,Netherlands
INV502133,AUT0091,Walmart Car Phone Mount,6,2024-05-16 13:49:00,28.67,10479,Norway
INV502134,ELE0133,Panasonic Deluxe Charger,1,2023-11-08 16:53:00,1960.65,10482,Spain
INV502135,HOM0396,Budget Green Bed Frame,4,2023-03-29 14:47:00,198.25,11237,Sweden
INV502136,AUT0490,IKEA Gold Car Vacuum,48,2024-10-14 15:27:00,122.97,10172,Belgium
INV502137,KIT0132,Panasonic Knife Set,6,2021-01-27 18:41:00,107.83,11949,Spain
INV502138,SPO0165,Google Pink Fishing Rod,1,2024-02-17 15:32:00,143.22,11512,Germany
INV502139,SPO0452,Walmart Standard Tennis Racket,6,2021-12-06 12:10:00,66.5,11220,Japan
INV502140,FAS0436,Bosch Purple Sunglasses,1,2021-05-09 20:33:00,201.17,10894,Sweden
INV502141,HOM0076,Bosch Pro Mattress,8,2021-03-06 14:47:00,730.86,10532,United Kingdom
INV502142,AUT0067,LG Black Car Wash Kit,4,2021-01-04 08:45:00,127.23,11715,Japan
INV502143,TOY0090,Kitchenaid Ultra Doll,19,2022-09-14 09:06:00,174.43,10361,China
INV502144,KIT0039,IKEA Gray Microwave,6,2023-08-26 15:27:00,477.49,11560,Canada
INV502145,TOY0062,Dell Large Science Kit,16,2022-05-16 10:03:00,79.79,11243,India
INV502146,KIT0151,Bosch Pro Food Processor,9,2022-01-31 09:18:00,486.05,11597,Canada
INV502147,AUT0429,Nikon Max Dash Cam,10,2023-02-07 11:02:00,258.23,10550,Sweden
INV502148,TOY0090,Kitchenaid Ultra Doll,37,2023-03-30 08:13:00,174.43,10768,Singapore
INV502149,ELE0439,Bosch Gaming Console,3,2020-03-01 10:47:00,1897.04,11198,Netherlands
INV502150,HEA0493,Budget Serum,45,2020-01-29 09:56:00,132.38,10847,Singapore
INV502151,HOM0095,IKEA White Outdoor Furniture,5,2022-10-11 09:03:00,736.79,10546,Sweden
INV502152,HEA0280,LG Pro Toothbrush,2,2022-07-11 15:56:00,27.97,10865,Canada
INV502153,SPO0389,IKEA Green Football,4,2024-07-09 09:25:00,255.94,11817,Germany
INV502154,FAS0100,Sony Skirt,1,2024-12-23 13:43:00,31.36,11893,Brazil
INV502155,ELE0482,Premium Hard Drive,10,2021-02-10 11:11:00,1904.37,10023,Italy
INV502156,AUT0428,Google Ultra Floor Mats,5,2021-07-26 14:36:00,250.86,10847,Singapore
INV502157,ELE0437,Panasonic Mouse,8,2020-11-23 17:17:00,682.39,10459,Norway
INV502158,OFF0228,Samsung Standard Eraser,4,2023-02-11 08:34:00,39.99,11603,Germany
INV502159,OFF0491,Generic Mini Pen,7,2024-03-28 13:16:00,76.74,10456,Australia
INV502160,HEA0081,LG Purple Toothbrush,10,2024-02-01 17:52:00,103.1,10125,Netherlands
INV502161,KIT0167,Nikon Mixer,10,2021-03-24 19:38:00,244.71,11127,Netherlands
INV502162,SPO0066,Adidas Gym Equipment,3,2024-04-01 15:11:00,44.13,10461,Germany
INV502163,OFF0441,Cuisinart Green Pencil,10,2020-08-29 14:14:00,28.51,11108,Germany
INV502164,TOY0334,Sony Video Game,10,2024-07-31 14:03:00,66.28,10713,Belgium
INV502165,FAS0426,Samsung Black Shorts,7,2022-07-15 14:41:00,117.47,10257,Sweden
